prop_sb_type,is_offplan,area,project,master_project,nearest_landmark,nearest_metro,nearest_mall,rooms,has_parking,procedure_area,date_year,month_sin,month_cos,community_30d_avg_price,off_plan_vol_ratio,prop_type_Land,prop_type_Unit,prop_type_Villa,usage_Commercial,usage_Hospitality_,usage_Industrial,usage_Multi_Use,usage_Other,usage_Residential,usage_Storage,procedure_Other,procedure_Sell,procedure_Sell___Pre_registration,procedure_Sell_Development
4404.82565579674,10920.86128085891,9869.625064332926,409143.96764826856,91254.55967699377,-5240.115564003671,17214.347885295494,133.4609192081258,-102680.15214232681,4789.412445127574,-1122053.8115772964,1.2473850301813627,1948.0197143264415,1293.1735859751798,507639.78146508476,7132.181889180332,4937.322085945163,-28914.284594009732,809.6022039601921,-10890.193045967319,-1212.9705745343715,0.0,0.0,4571.891143182496,-4779.021984633902,0.0,0.0,25687.62534275184,7446.412681292278,0.0
220086.55474523216,-302715.56635599275,45142.82778644953,423421.8274743458,-115264.18751059847,-67532.05957053277,94634.41523099545,-141946.69179145718,121732.26945631472,-250821.0243836613,8164648.200605891,93145.25484437712,14800.13159012645,-189220.84364984863,3934404.4027170707,118589.44812921638,3280.6245848281164,97473.16365765901,-238517.34311755863,-26108.459651122008,1095.2828450287425,0.0,0.0,4494.634577654,1147.2728090461924,0.0,0.0,-138231.10263023304,-144713.19852798677,0.0
-47967.205929154195,22821.93681024378,42980.507513094155,607006.3334822541,85337.5197408734,19579.721681295814,11648.571238729492,58649.457489418935,248764.5686034148,1202.3285636661228,1277085.7791978111,-3497.674450579563,5990.055160429994,27075.751382792983,703594.8215080996,-22987.184292436872,9176.148812219912,-27600.91906032052,-2423.717447215372,-11102.0789649019,-2951.0628346653884,0.0,0.0,4723.786759024556,-6508.864381426725,0.0,0.0,66517.77935045265,11978.836472153056,0.0
-26769.00223497845,11362.017392116966,7049.539224373794,432271.9575207564,62983.88718583388,4472.091101904541,11323.186183385162,3444.909475467475,7084.549419500298,5233.736417007424,-366222.25980877597,-6026.395489281815,1471.6401361711805,6642.171383151082,750458.9183619448,2866.832841390793,5504.8662260544315,-29234.471700504342,-358.8868647787695,-5745.103845273424,-725.442277312034,0.0,0.0,4580.493750350384,-3958.305261483708,0.0,0.0,54591.25055244732,3805.9176086830516,0.0
233718.0363282126,-409501.7059377135,83397.3181104515,129240.82741911264,264280.92408730666,-62004.93525298975,55744.03222973506,-23455.976137930593,193163.0603822425,-138800.51487763377,4488147.364067923,57607.27055760092,-18393.313229890133,213406.41754504357,2853953.6217128225,30158.07971934318,12090.082029619869,236575.41537897201,8561.347389528346,-25724.83354499365,-2190.708132728425,0.0,0.0,6309.70356164202,-73399.07410225311,0.0,0.0,-133872.5665318141,-170528.68878149102,0.0
-38069.73725431352,3956.8371297184017,-6531.978170575691,373882.84585474443,66830.64019468335,7378.512324446156,17323.52994732206,22153.307967150442,180990.1918690402,3142.8741489229305,438077.2909451768,-260.77239927225264,-3.91687621418896,1522.0500830316505,703351.6530484525,3723.5682360304154,7554.205813442957,-25201.835786631633,-1570.603721715223,-7406.130828310599,-132.40959865874242,0.0,0.0,4558.38712809162,-11985.092260240148,0.0,40.88705230997522,73792.11593857167,3548.3353756536085,0.0
-13160.44684182937,-43761.2081046523,3902.466062022062,-99768.06746503561,-147874.99484128755,3101.7600038758505,-43330.97950620605,31236.41100538722,-85563.06343127791,7078.230763984934,-565259.7382055781,16691.77541090723,12.961310038773945,6319.921831108952,-241610.41817250403,-14675.424379265403,16610.194824355152,-22519.803991382912,-4.780270766791489,-3760.783612886431,-99.56100613717311,0.0,0.0,1394.074164264463,-2367.525423701292,0.0,-474.77909750416796,-42582.94527100478,-43279.586592088584,658.2657121006332
87610.33087184813,-24130.007063030855,-6588.645331016817,3099325.171968855,28013.62163664534,342062.06096960866,199407.32868091855,257623.39192464764,-277408.6114398815,5793.798759284267,1046591.1509877155,6645.652105647406,13427.162179349609,-62020.4425274808,1716661.9755136126,-53218.77965460026,20530.318830916654,-51682.29270226691,1922.087805101001,-11277.058153568327,82168.53273074217,0.0,0.0,3364.846815174794,54822.60609306078,0.0,0.0,-45013.76193110296,1998.5673474110145,0.0
-31881.238100919665,29433.652220542433,66367.26897687407,145896.46300323255,39441.20098762114,28457.131428856625,8745.983633034743,-44605.902758394426,-102955.99272616218,9449.047707715148,-710116.5793612666,13768.768903723565,3368.3667695630684,4672.699008619503,458029.3375004126,-76247.84551911315,8553.206485762228,-26638.393549050383,4094.1471425115733,-4048.18523423622,-42.0195860192817,0.0,0.0,3056.3912641634206,-5211.188508442282,0.0,0.0,31503.953519858005,8256.760233257937,0.0
112805.83323377353,2089.835380416553,-85774.7421121879,-326085.7903044288,-11995.249044057193,-472.85542217113743,17683.13840405128,-20155.753259700086,-11690.712277659384,-1563.420714376362,86938.00550103784,21702.097130546194,5552.686495862506,13896.348258415645,-472868.8901152031,27754.59599199653,-50316.56655698693,178159.1147471194,-42525.31498784126,58.631964550794265,-231.64138602429068,0.0,0.0,558.5983752319675,-5601.187750824047,0.0,14.254679395356092,-144981.43045851996,6208.297277685509,0.0
74825.47489300533,5193.840744425669,-85253.70456659264,-283264.651250849,-22931.85603340791,53809.676898832455,11054.161483472597,-12140.288787324427,21930.188884998457,-339.1326970391949,150770.64008743459,13783.740967295402,9011.821431061711,16205.675598454673,-501895.5522880509,35681.13054737712,-21751.96707035078,184634.53434386387,-40933.24377492173,228.7219709133056,-141.50683690512673,0.0,0.0,1866.5440771332244,-6247.250976102496,0.0,9781.008898212844,74636.76599269787,7283.810918470897,23.308769075721205
-1656.6564664637278,4339.6017824963965,-4409.080495392453,-137544.7790928948,-28741.425481512935,2704.6432216997096,-6080.585901189944,-8331.64539548753,-76425.98869158987,3857.9706951929816,-959468.907731656,7346.568282517943,-1729.4318027725228,-361.93102339398865,-285299.36474909884,50528.014153030905,8324.177843385329,-17415.99273364567,-421.61856302807314,-3645.7787694067724,764.1405918273152,0.0,0.0,796.0606033138215,-2391.5168741127927,0.0,0.0,18062.438095552527,21389.268943025367,0.0
108261.16925903595,-3409.489309318177,-131456.65810267167,-373711.5575656078,-93768.06710938943,-825.6579973670305,-2401.30512628453,-28737.592586461065,-32497.11684930421,3365.082968494497,867882.1096457245,21206.365615715193,-218.41464739937896,7734.888039894405,-723426.9028255873,36215.41945189813,-66835.81314483017,176392.29543087445,-96606.43565216554,2446.0410452021947,-2131.0681237718463,0.0,0.0,-941.1528231829175,-6058.401752526593,0.0,156.4235324189768,-39273.10387849441,4932.453674099763,-112.85052114703734
-6626.061605597233,5488.09819851758,29709.58018911043,-16493.735290449975,18815.16629234145,-61156.61365001103,-82.6519616332921,-6277.649783329794,-26188.334613058505,4119.012706563708,-1059616.031677702,9927.349072933019,1739.3327082748542,7242.429320238839,-213021.77347988792,-4119.961567357017,6008.694228502945,-26775.325956130226,1310.6425052267982,-7508.850413938943,115.29369826412916,0.0,0.0,3862.644440008373,-3119.0040372486055,0.0,0.0,18925.629405847947,21224.53723395556,0.0
67803.76472955536,-13421.671463143308,-65336.27103006327,-401918.6308798129,-126449.49931089566,9065.612128839448,2536.13190989493,-12775.280233819656,138449.75175528938,3649.219988348594,183660.98137449066,16574.437105227167,14389.556513422976,4047.2084350963205,-591111.2427015956,23034.38768986872,6794.047854385333,154289.62793188848,199553.81282690816,748.714091568529,-334.87936200278614,0.0,0.0,-72.83335987499254,-6205.76877727249,0.0,-69438.57923405914,7497.774940463696,-2592.527282876551,0.0
197899.8277915552,-4776.597281349761,377.91622124516516,-283843.7380779188,-121915.64265103555,-20123.53215750255,-60288.606918105266,14171.670482127272,-15520.127787589285,2875.309534850396,-1114286.3637511774,12009.12586015205,677.6953751196543,6676.612221030814,-212694.24839429924,-13126.925619324918,12589.997778724792,-31722.03329781699,483.64192658841955,173051.01375399836,320.19564149865187,0.0,0.0,693.4346734951132,17269.648433425995,0.0,-21.443257687257518,24644.69211787521,-43082.89864176385,-132486.02641281264
153524.41044699663,2744.1938996805848,-62014.951618136,-320445.5773143962,-107049.0972855576,-8819.475087486499,81577.90980393109,293996.10613725614,162581.34467780762,25692.04314068513,3561187.0170473196,25897.5976197125,-3398.1666265603394,-2688.094254972899,-1204676.4899941906,134818.96568482855,8344.688949131447,222782.48301881878,11734.120312517913,-3341.830796191246,-115.10683884144744,0.0,-5544.632920006071,1132.3365810474832,-6763.224349632708,0.0,206.61671470335378,33766.21835606667,3153.2438273998664,-36843.63321394785
