source_position,local_index,transaction_num,predicted_value,actual_value,rank,feature,feature_value,shap_value,abs_shap_value,running_value_before,running_value_after
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,7,area,16275.175384508077,67622.71345042196,67622.71345042196,3460416.340431407,3528039.053881829
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,8,community_30d_avg_price,17997.369520958084,-60435.209097743005,60435.209097743005,3528039.053881829,3467603.844784086
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,9,procedure_Sell,0.0,50649.21208574224,50649.21208574224,3467603.844784086,3518253.056869828
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,10,month_cos,1.0,37082.4861768431,37082.4861768431,3518253.056869828,3555335.5430466714
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,11,month_sin,-2.4492935982947064e-16,36657.96384302997,36657.96384302997,3555335.5430466714,3591993.5068897014
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,12,date_year,2025.0,23113.478635720698,23113.478635720698,3591993.5068897014,3615106.9855254223
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,13,prop_type_Villa,1.0,22336.152451219245,22336.152451219245,3615106.9855254223,3637443.1379766413
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,14,off_plan_vol_ratio,0.8706586826347306,-16884.596231601794,16884.596231601794,3637443.1379766413,3620558.5417450396
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,15,is_offplan,1.0,12548.464711517507,12548.464711517507,3620558.5417450396,3633107.006456557
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,16,nearest_landmark,20146.25007233051,12014.035172340027,12014.035172340027,3633107.006456557,3645121.041628897
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,17,procedure_Sell___Pre_registration,1.0,11810.534289881989,11810.534289881989,3645121.041628897,3656931.5759187792
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,18,prop_type_Land,0.0,7013.94594560852,7013.94594560852,3656931.5759187792,3663945.5218643877
468,468,7e387bffafed1850ff69344026690642f90400f281e80a99ba4007666d92b0a7,3661413.62074601,3533770.0,19,usage_Residential,1.0,-6378.787505307198,6378.787505307198,3663945.5218643877,3657566.7343590804
